nofinesset;nofinessej;rs;rslongue;numvoie;typvoie;voie;compvoie;lieuditbp;commune;departement;libdepartement;ligneachimenement;libcategetab;libcategagretab;codeape;codemft;libmft;codesph;libsph;ville
30007868;30780092;HOPITAL DE JOUR 2-6 ANS JEAMMET;HOPITAL DE JOUR 2-6 ANS JEAMMET;;RTE;DE GENNETINES;;BP 23;321.0;3;ALLIER;03401 YZEURE CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;YZEURE
30007876;30780092;HOPITAL DE JOUR 12-18 ANS BINET;HOPITAL DE JOUR 12-18 ANS BINET;;RTE;DE GENNETINES;;BP 23;321.0;3;ALLIER;03401 YZEURE CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;YZEURE
30007942;30002158;CH DPT COEUR BOURBONNAIS ST POURCAIN;;;R;DE CHAMPFEUILLET;;;254.0;3;ALLIER;03500 ST POURCAIN SUR SIOULE;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST POURCAIN SUR SIOULE
30009468;30780092;HOPITAL DE JOUR 6-12 ANS BINET;HOPITAL DE JOUR 6-12 ANS BINET;;RTE;DE GENNETINES;;BP 23;321.0;3;ALLIER;03401 YZEURE CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;YZEURE
30780589;30780092;CHS D'YZEURE;CENTRE HOSPITALIER SPECIALISE D'YZEURE;;RTE;DE GENNETINES;;BP 23;321.0;3;ALLIER;03401 YZEURE CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;YZEURE
30781637;30780100;SERVICE DE PSYCHIATRIE CHATELARD;;;;;;;217.0;3;ALLIER;03170 ST ANGEL;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST ANGEL
30783989;30780100;CTRE DE PEDOPSYCHIATRIE JEAN BILLAUD;CENTRE DE PEDOPSYCHIATRIE JEAN BILLAUD;5.0;R;JEAN BILLAUD;;;185.0;3;ALLIER;03109 MONTLUCON CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MONTLUCON
30785042;30780118;"HOPITAL DE JOUR "" VICHY-OUEST""";;19.0;R;JEANNE D'ARC;;;310.0;3;ALLIER;03200 VICHY;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VICHY
30785869;30780118;ESPACE CANGUILHEM;ESPACE CANGUILHEM;22.0;R;BINTÔT;;;310.0;3;ALLIER;03200 VICHY;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VICHY
30785885;30780118;"HOPITAL DE JOUR ""PSY INFANTJUV""";HOPITAL DE JOUR - PSYCHIATRIE INFANTO JUVENILE;8.0;R;DU CHATEAU D'EAU;;;310.0;3;ALLIER;03200 VICHY;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;VICHY
40000036;40780132;EPS PIERRE GROUES DE BARCELONNETTE;ETABLISSEMENT PUBLIC DE SANTE PIERRE GROUES DE BARCELONNETTE;8.0;R;MAURIN;;;19.0;4;ALPES DE HAUTE PROVENCE;04400 BARCELONNETTE;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BARCELONNETTE
40000044;40780140;EPS DUCELIA DE CASTELLANE;ETABLISSEMENT PUBLIC DE SANTE DUCELIA DE CASTELLANE;;QUA;NOTRE DAME;;;39.0;4;ALPES DE HAUTE PROVENCE;04120 CASTELLANE;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CASTELLANE
40000069;40780215;CHI MANOSQUE SITE FORCALQUIER;CHI MANOSQUE SITE FORCALQUIER;1.0;AV;DU DOCTEUR EUGENE BERNARD;;;88.0;4;ALPES DE HAUTE PROVENCE;04300 FORCALQUIER;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;FORCALQUIER
40000093;40780215;CHI DE MANOSQUE LOUIS RAFFALLI;CENTRE HOSPITALIER DE MANOSQUE LOUIS RAFFALLI;;R;AUGUSTE GIRARD;;BP 108;112.0;4;ALPES DE HAUTE PROVENCE;04101 MANOSQUE CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MANOSQUE
40000119;40780231;EPS LUMIERE DE RIEZ;ETABLISSEMENT PUBLIC DE SANTE LUMIERE DE RIEZ;;PL;EMILE BOUTEUIL;;;166.0;4;ALPES DE HAUTE PROVENCE;04500 RIEZ;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;RIEZ
40000127;40780249;EPS VALLEE DE LA BLANCHE SEYNE ALPES;EPS VALLEE DE LA BLANCHE SEYNE LES ALPES;;RTE;DE SAINT PONS;;;205.0;4;ALPES DE HAUTE PROVENCE;04140 SEYNE LES ALPES;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;SEYNE LES ALPES
40000135;50002948;CHI DES ALPES DU SUD SITE DE SISTERON;CHI DES ALPES DU SUD SITE DE SISTERON;4.0;AV;DE LA LIBERATION;;;209.0;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;SISTERON
40000911;40788879;CENTRE HOSPITALIER DE DIGNE LES BAINS;CENTRE HOSPITALIER DE DIGNE LES BAINS;;QUA;SAINT CHRISTOPHE;;BP 213;70.0;4;ALPES DE HAUTE PROVENCE;04003 DIGNE LES BAINS CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;DIGNE LES BAINS
40005035;40788879;HJ CASA CH DIGNE;HJ CASA CH DIGNE;83.0;BD;VICTOR HUGO;;;70.0;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;Centre Hospitalier (C.H.);Centres Hospitaliers;8720B;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;DIGNE LES BAINS
40005043;40788879;HJ CH DIGNE;HJ CH DIGNE;8.0;R;JULES ARNOUX;;;70.0;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;Centre Hospitalier (C.H.);Centres Hospitaliers;8720B;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;DIGNE LES BAINS
40005209;40788879;HJ CMP CH DIGNE;HJ CMP CH DIGNE;11.0;R;ALPHONSE RICHARD;;;70.0;4;ALPES DE HAUTE PROVENCE;04000 DIGNE LES BAINS;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;DIGNE LES BAINS
40006264;40788879;HJ CASA SITE MANOSQUE;HJ CASA SITE MANOSQUE;9151.0;R;AMPERE ZONE ST JOSEPH;;;112.0;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MANOSQUE
40787772;40788879;CENTRE HOSPIT SPE PSY DIGNE LES BAINS;CENTRE HOSPITALIER SPECIALISE PSY DIGNE LES BAINS;;QUA;SAINT CHRISTOPHE;;BP 213;70.0;4;ALPES DE HAUTE PROVENCE;04003 DIGNE LES BAINS CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8720B;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;DIGNE LES BAINS
40788218;40788879;HJ YVES ARNOUX MANOSQUE;HJ YVES ARNOUX MANOSQUE;;ALL;DU PARC;;;112.0;4;ALPES DE HAUTE PROVENCE;04100 MANOSQUE;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;MANOSQUE
40788580;40788879;HJ PSY IJ CHATEAU ARNOUX;HJ PSY INFANTO JUVENILE CHATEAU ARNOUX;68.0;BD;DU GENERAL DE GAULLE;;;49.0;4;ALPES DE HAUTE PROVENCE;04160 CHATEAU ARNOUX ST AUBAN;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;CHATEAU ARNOUX ST AUBAN
40788887;40788879;HJ PSY GEN SISTERON;HJ PSY GEN SISTERON;1.0;R;SAINT URSULE;;;209.0;4;ALPES DE HAUTE PROVENCE;04200 SISTERON;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;SISTERON
40789232;40788879;HJ VILLA VERTE FORCALQUIER;HOPITAL DE JOUR VILLA VERTE FORCALQUIER;1.0;AV;DU DOCTEUR CASIMIR CAIRE;;;88.0;4;ALPES DE HAUTE PROVENCE;04300 FORCALQUIER;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;FORCALQUIER
50000132;50007145;CH BUECH DURANCE LARAGNE;CH BUECH DURANCE LARAGNE;;R;DU DR PROVANSAL;;;70.0;5;HAUTES ALPES;05300 LARAGNE MONTEGLIN;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LARAGNE MONTEGLIN
50000223;50000108;CENTRE HOSPITALIER AIGUILLES QUEYRAS;CENTRE HOSPITALIER AIGUILLES QUEYRAS;;R;SAINT JACQUES;;;3.0;5;HAUTES ALPES;05470 AIGUILLES;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;AIGUILLES
50000231;50000116;CH DES ESCARTONS DE BRIANCON;CENTRE HOSPITALIER DES ESCARTONS DE BRIANCON;24.0;AV;ADRIEN DAURELLE;;;23.0;5;HAUTES ALPES;05105 BRIANCON CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BRIANCON
50000256;50000124;CENTRE HOSPITALIER D'EMBRUN;CENTRE HOSPITALIER D'EMBRUN;8.0;R;PIERRE ET MARIE CURIE;;;46.0;5;HAUTES ALPES;05200 EMBRUN;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;EMBRUN
50000330;50007145;PSY GEN LE CHABRE LARAGNE;PSY GEN LE CHABRE LARAGNE;;PL;DES AIRES;;;70.0;5;HAUTES ALPES;05300 LARAGNE MONTEGLIN;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LARAGNE MONTEGLIN
50000348;50002948;CHI DES ALPES DU SUD SITE DE GAP;CHI DES ALPES DU SUD SITE DE GAP;1.0;PL;AUGUSTE MURET;;BP 101;61.0;5;HAUTES ALPES;05007 GAP CEDEX;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;GAP
50003748;50007145;PSY IJ LE CORTO MALTESE GAP;PSY IJ LE CORTO MALTESE GAP;4951.0;AV;EMILE DIDIER;;;61.0;5;HAUTES ALPES;05000 GAP;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;GAP
50005263;50007145;HJ PSY IJ PRAMBULLE BRIANCON;HJ PSY IJ PRAMBULLE BRIANCON;13.0;AV;ADRIEN DAURELLE;;;23.0;5;HAUTES ALPES;05100 BRIANCON;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BRIANCON
50005271;50007145;HJ PSY IJ LES ISLES LARAGNE;HJ PSY IJ LES ISLES LARAGNE;11.0;R;DU MOULIN;;;70.0;5;HAUTES ALPES;05300 LARAGNE MONTEGLIN;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;LARAGNE MONTEGLIN
50008630;50000116;HJ L'ESCALE BRIANCON;HJ L'ESCALE BRIANCON;28.0;AV;RENE FROGER;;;23.0;5;HAUTES ALPES;05100 BRIANCON;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BRIANCON
50008697;50007145;HJ PSY IJ LA DOUCETTE GAP;HJ PSY IJ LA DOUCETTE GAP;1.0;R;CARNOT;B;;61.0;5;HAUTES ALPES;05000 GAP;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;GAP
50008705;50007145;HJ PSY GEN HELENE CHAIGNEAU GAP;HJ PSY GEN HELENE CHAIGNEAU GAP;33.0;AV;DU COMMANDANT DUMONT;;;61.0;5;HAUTES ALPES;05000 GAP;Centre Hospitalier (C.H.);Centres Hospitaliers;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;GAP
60000163;60780327;CH SAINT MAUR SAINT ETIENNE TINEE;CENTRE HOSPITALIER SAINT MAUR A SAINT ETIENNE DE TINEE;3.0;R;DROITE;;;120.0;6;ALPES MARITIMES;06660 ST ETIENNE DE TINEE;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;ST ETIENNE DE TINEE
60000304;60780657;CENTRE HOSPITALIER DE BREIL SUR ROYA;CENTRE HOSPITALIER DE BREIL SUR ROYA;;R;CORDIER;;;23.0;6;ALPES MARITIMES;06540 BREIL SUR ROYA;Centre hospitalier, ex Hôpital local;Hôpitaux Locaux;8610Z;3.0;ARS établissements Publics de santé dotation globale;1.0;Etablissement public de santé;BREIL SUR ROYA
